graph_id,graph_type,graph_seed,num_nodes,num_edges,edge_density,avg_degree,degree_std,max_degree,clustering,optimal_cut,qaoa_depth_p,optimizer,runtime_seconds,num_function_evaluations,theta_0,theta_1,expected_cut,exact_expected_ratio,best_cut,best_ratio,best_bitstring,optimal_solution_probability,empirical_expected_ratio_sampled,sampled_best_ratio,shots,topology,transpiled_depth,transpiled_cx,transpiled_1q_ops,transpiled_total_ops,cx_per_edge,cx_per_layer,cx_per_edge_per_layer,theta_2,theta_3,theta_4,theta_5
erdos_renyi_n10_s7,erdos_renyi,7,10,27,0.6,5.4,1.0198039027185568,7,0.6276190476190476,18,1,COBYLA,0.3237318992614746,36,1.304202066601621,1.07721440796313,14.40701454856017,0.8003896971422316,18.0,1.0,1011110000,0.03698283429104367,0.7974989149305556,1.0,2048,linear,117,146,155,301,5.407407407407407,146.0,5.407407407407407,,,,
erdos_renyi_n10_s7,erdos_renyi,7,10,27,0.6,5.4,1.0198039027185568,7,0.6276190476190476,18,1,COBYLA,0.3237318992614746,36,1.304202066601621,1.07721440796313,14.40701454856017,0.8003896971422316,18.0,1.0,1011110000,0.03698283429104367,0.7974989149305556,1.0,2048,ring,130,123,198,321,4.555555555555555,123.0,4.555555555555555,,,,
erdos_renyi_n10_s7,erdos_renyi,7,10,27,0.6,5.4,1.0198039027185568,7,0.6276190476190476,18,1,COBYLA,0.3237318992614746,36,1.304202066601621,1.07721440796313,14.40701454856017,0.8003896971422316,18.0,1.0,1011110000,0.03698283429104367,0.7974989149305556,1.0,2048,grid,105,84,151,235,3.111111111111111,84.0,3.111111111111111,,,,
erdos_renyi_n10_s7,erdos_renyi,7,10,27,0.6,5.4,1.0198039027185568,7,0.6276190476190476,18,1,COBYLA,0.3237318992614746,36,1.304202066601621,1.07721440796313,14.40701454856017,0.8003896971422316,18.0,1.0,1011110000,0.03698283429104367,0.7974989149305556,1.0,2048,heavy_hex_like,100,85,146,231,3.1481481481481484,85.0,3.1481481481481484,,,,
erdos_renyi_n10_s7,erdos_renyi,7,10,27,0.6,5.4,1.0198039027185568,7,0.6276190476190476,18,1,SPSA,1.487804889678955,181,0.1995105150962378,1.2725751763506423,15.903438659490117,0.8835243699716732,18.0,1.0,1011110000,0.13155780816152146,0.8864474826388888,1.0,2048,all_to_all,53,54,106,160,2.0,54.0,2.0,,,,
erdos_renyi_n10_s7,erdos_renyi,7,10,27,0.6,5.4,1.0198039027185568,7,0.6276190476190476,18,1,SPSA,1.487804889678955,181,0.1995105150962378,1.2725751763506423,15.903438659490117,0.8835243699716732,18.0,1.0,1011110000,0.13155780816152146,0.8864474826388888,1.0,2048,linear,108,146,170,316,5.407407407407407,146.0,5.407407407407407,,,,
erdos_renyi_n10_s7,erdos_renyi,7,10,27,0.6,5.4,1.0198039027185568,7,0.6276190476190476,18,1,SPSA,1.487804889678955,181,0.1995105150962378,1.2725751763506423,15.903438659490117,0.8835243699716732,18.0,1.0,1011110000,0.13155780816152146,0.8864474826388888,1.0,2048,ring,127,121,190,311,4.481481481481482,121.0,4.481481481481482,,,,
erdos_renyi_n10_s7,erdos_renyi,7,10,27,0.6,5.4,1.0198039027185568,7,0.6276190476190476,18,1,SPSA,1.487804889678955,181,0.1995105150962378,1.2725751763506423,15.903438659490117,0.8835243699716732,18.0,1.0,1011110000,0.13155780816152146,0.8864474826388888,1.0,2048,grid,104,81,155,236,3.0,81.0,3.0,,,,
erdos_renyi_n10_s7,erdos_renyi,7,10,27,0.6,5.4,1.0198039027185568,7,0.6276190476190476,18,1,SPSA,1.487804889678955,181,0.1995105150962378,1.2725751763506423,15.903438659490117,0.8835243699716732,18.0,1.0,1011110000,0.13155780816152146,0.8864474826388888,1.0,2048,heavy_hex_like,100,90,145,235,3.3333333333333335,90.0,3.3333333333333335,,,,
erdos_renyi_n10_s7,erdos_renyi,7,10,27,0.6,5.4,1.0198039027185568,7,0.6276190476190476,18,2,COBYLA,0.760610818862915,70,1.5327774409339072,1.2145580058520258,15.92263464641302,0.8845908136896122,18.0,1.0,1011110000,0.13233754075460488,0.8865831163194444,1.0,2048,all_to_all,85,108,182,290,4.0,54.0,2.0,1.393344654234641,0.28622986738600953,,
